DATE,er,cpi_usa,cpi_can,y,cpi_usa_diff,cpi_can_diff,prices_usa,prices_can,can/usa,can/usa_gt,x
2008-03-01,1.0029428571428571,90.08974,88.96497,-0.010775324675324605,0.7742000000000075,0.3160399999999868,68,43,0.9875150044833073,0.6323529411764706,-0.015427852659549823
2008-04-01,1.0137181818181817,90.63611999999999,89.67605999999999,0.014413419913419934,0.546379999999985,0.7110899999999987,72,46,0.9894075342148362,0.6388888888888888,-0.02431064760334556
2008-05-01,0.9993047619047618,91.39935,90.54517,-0.017319047619047567,0.7632300000000072,0.8691100000000063,80,46,0.9906544193147983,0.575,-0.008650342589963556
2008-06-01,1.0166238095238094,92.32038,91.17725,0.0036601731601728638,0.9210300000000018,0.632080000000002,77,52,0.9876177936009363,0.6753246753246753,-0.029006015922873107
2008-07-01,1.0129636363636365,92.80516,91.49329,-0.04049350649350636,0.48478000000000065,0.316040000000001,72,48,0.9858642558237064,0.6666666666666666,-0.027099380539930107
2008-08-01,1.0534571428571429,92.43472,91.33527,-0.004747619047619223,-0.3704400000000021,-0.1580200000000076,63,43,0.988105659864605,0.6825396825396826,-0.0653514829925379
2008-09-01,1.058204761904762,92.30688,91.41428,-0.12649069264069235,-0.12783999999999196,0.0790100000000109,76,53,0.9903300815713845,0.6973684210526315,-0.06787468033337762
2008-10-01,1.1846954545454544,91.37446,90.46616,-0.03239898989899004,-0.9324200000000076,-0.948120000000003,84,58,0.9900595855778519,0.6904761904761905,-0.19463586896760254
2008-11-01,1.2170944444444445,89.62437,90.15012,-0.016601010101009894,-1.7500900000000001,-0.316040000000001,77,54,1.005866150021473,0.7012987012987013,-0.21122829442297153
2008-12-01,1.2336954545454544,88.69743000000001,89.51804,0.008875454545454353,-0.9269399999999877,-0.632080000000002,71,45,1.009251790046228,0.6338028169014085,-0.22444366449922648
2009-01-01,1.22482,89.08348000000001,89.28101,-0.020380000000000065,0.38604999999999734,-0.2370300000000043,62,42,1.0022173583699243,0.6774193548387096,-0.2226026416300757
2009-02-01,1.2452,89.52649,89.91309,-0.01931818181818179,0.4430099999999868,0.632080000000002,60,40,1.0043182749597355,0.6666666666666666,-0.24088172504026462
2009-03-01,1.2645181818181819,89.74419,90.07111,0.040336363636363615,0.21770000000000778,0.1580200000000076,61,42,1.0036427984920249,0.6885245901639344,-0.260875383326157
2009-04-01,1.2241818181818183,89.96823,89.9921,0.07139681818181831,0.22404000000000224,-0.0790100000000109,56,40,1.0002653158787274,0.7142857142857143,-0.2239165023030909
2009-05-01,1.152785,90.22813000000001,90.62418000000001,0.02643045454545434,0.2599000000000018,0.6320800000000162,60,44,1.0043894293276387,0.7333333333333333,-0.1483955706723612
2009-06-01,1.1263545454545456,91.00317,90.94022,0.0034936758893282516,0.77503999999999,0.3160399999999868,61,42,0.9993082658549147,0.6885245901639344,-0.12704627959963088
2009-07-01,1.1228608695652174,90.85889,90.62418000000001,0.03562277432712224,-0.14427999999999486,-0.3160399999999868,60,45,0.9974167635109785,0.75,-0.12544410605423884
2009-08-01,1.0872380952380951,91.06267,90.62418000000001,0.005599999999999827,0.20377999999999474,0.0,57,45,0.9951847447477656,0.7894736842105263,-0.09205335049032948
2009-09-01,1.0816380952380953,91.11962,90.62418000000001,0.026961904761904965,0.0569500000000005,0.0,54,41,0.9945627516883851,0.7592592592592593,-0.08707534354971014
2009-10-01,1.0546761904761903,91.20738,90.54517,-0.0046238095238095855,0.08776000000000295,-0.0790100000000109,57,40,0.99273951296485,0.7017543859649122,-0.061936677511340354
2009-11-01,1.0593,91.27193,91.01923000000001,0.005609090909090675,0.064549999999997,0.4740600000000086,56,42,0.9972313503176717,0.75,-0.06206864968232817
2009-12-01,1.0536909090909092,91.11118,90.70319,0.009880382775119712,-0.16074999999999307,-0.316040000000001,56,40,0.995522064361366,0.7142857142857143,-0.0581688447295432
2010-01-01,1.0438105263157895,91.42255,90.94022,-0.013400000000000079,0.3113699999999966,0.23702999999999008,56,40,0.9947241681620125,0.7142857142857143,-0.04908635815377704
2010-02-01,1.0572105263157896,91.44534,91.33527,0.03431052631578968,0.022790000000000532,0.3950499999999977,55,38,0.998796330135576,0.6909090909090909,-0.058414196180213596
2010-03-01,1.0229,91.82084,91.33527,0.0176909090909092,0.3755000000000024,0.0,54,41,0.9947117669583505,0.7592592592592593,-0.028188233041649413
2010-04-01,1.0052090909090907,91.98031999999999,91.65131,-0.035070909090909375,0.15947999999998785,0.316040000000001,54,44,0.9964230391892527,0.8148148148148148,-0.00878605171983804
